id,group,wave,kind,count,rms,max_abs,bias,modulo_180_rms,modulo_180_max_abs
C1_0.006_S0,C1,S0,direct_coordinate,30,0.0039928169881699475,0.0062265274309272756,-0.0032713636696748336,,
C1_0.006_S2,C1,S2,direct_coordinate,30,0.0012495361792160405,0.002376577134608579,-0.00013423611565149322,,
C1_0.006_P1,C1,P1,direct_coordinate,29,0.0009575822973002692,0.0012984114614521484,0.0008754731925604091,,
C1_0.004_S0,C1,S0,direct_coordinate,30,0.0015963059103338507,0.0024957280865530174,-0.0013424704239712046,,
C1_0.004_S2,C1,S2,direct_coordinate,30,0.00041129420180915395,0.001139623804272842,-0.00020240727814615182,,
C1_0.004_P1,C1,P1,direct_coordinate,29,0.00039556710910076975,0.0005189394636179179,0.0003713075217503567,,
C1_0.002_S0,C1,S0,direct_coordinate,30,0.0015124450509189636,0.004917056480920362,0.0006796223105389018,,
C1_0.002_S2,C1,S2,direct_coordinate,30,0.00057440851208662,0.0012654634979105059,-0.0002770372154302621,,
C1_0.002_P1,C1,P1,direct_coordinate,29,0.000245976744568101,0.0006770991355413911,-2.9125086946252613e-05,,
C3_paper_bootstrap_S0,C3,S0,direct_coordinate,41,5.484920401740477,12.237843837118689,3.7511060511087297,5.484920401740477,12.237843837118689
C3_paper_bootstrap_S0,C3,S0,same_native_s,43,5.55947308894167,12.733690473698218,3.8094272051820344,5.55947308894167,12.733690473698218
C3_paper_bootstrap_S2,C3,S2,direct_coordinate,41,0.5533537533476239,2.469947844564569,0.19496713627171294,0.5533537533476248,2.4699478445645724
C3_paper_bootstrap_S2,C3,S2,same_native_s,43,0.5038580716091995,2.381951268989816,0.13122498886968456,0.5038580716091988,2.381951268989809
C3_paper_bootstrap_P1,C3,P1,direct_coordinate,41,2.8176350969941293,11.979301150703748,-1.1582801462507195,2.8176350969941293,11.979301150703748
C3_paper_bootstrap_P1,C3,P1,same_native_s,43,2.7421617410051824,11.931659286111342,-1.092591280333693,2.742161741005182,11.93165928611134
C3_phenomenology_S0,C3,S0,direct_coordinate,89,7.354863200327089,14.84893157355748,0.10755062414670734,7.354863200327089,14.84893157355748
C3_phenomenology_S2,C3,S2,direct_coordinate,94,2.03288081720007,3.665925941250446,-0.733259116901265,2.0328808172000707,3.6659259412504497
C3_phenomenology_P1,C3,P1,direct_coordinate,183,85.63465309801389,147.10352781275716,-62.41967407695077,38.666065016423275,88.95358843163883
