id,group,wave,kind,count,rms,max_abs,bias,modulo_180_rms,modulo_180_max_abs
C1_0.006_S0,C1,S0,direct_coordinate,30,0.0039988219233629664,0.006243647738264704,-0.003241831943079525,,
C1_0.006_S2,C1,S2,direct_coordinate,30,0.0012729491223583051,0.002379898383944992,-0.00012556129777499593,,
C1_0.006_P1,C1,P1,direct_coordinate,29,0.0009745111537407802,0.001315926936600596,0.000892669326580635,,
C1_0.004_S0,C1,S0,direct_coordinate,30,0.001840925189516644,0.0042289257003690905,-0.0010382847463761208,,
C1_0.004_S2,C1,S2,direct_coordinate,30,0.0004346894670084879,0.0010317245018518946,-0.0001711073388831902,,
C1_0.004_P1,C1,P1,direct_coordinate,29,0.0004176894182439196,0.0005669839455889059,0.0003863905505184641,,
C1_0.002_S0,C1,S0,direct_coordinate,30,0.0015481785014498106,0.005039366866946254,0.000681490486324074,,
C1_0.002_S2,C1,S2,direct_coordinate,30,0.0005694284711377146,0.0012544950112332205,-0.00027734354365743785,,
C1_0.002_P1,C1,P1,direct_coordinate,29,0.00024959107395654,0.0006831847942798605,-2.127281380076857e-05,,
C3_paper_bootstrap_S0,C3,S0,direct_coordinate,41,6.100650406923405,13.211485937548431,4.198056665171809,6.100650406923405,13.211485937548431
C3_paper_bootstrap_S0,C3,S0,same_native_s,43,6.157129733735919,13.694056449893253,4.238010298802852,6.1571297337359185,13.694056449893253
C3_paper_bootstrap_S2,C3,S2,direct_coordinate,41,0.6380833344266816,2.740854137556944,0.23734454533061952,0.6380833344266813,2.740854137556937
C3_paper_bootstrap_S2,C3,S2,same_native_s,43,0.5849750967375003,2.653957763848247,0.17198978655491226,0.5849750967375003,2.65395776384824
C3_paper_bootstrap_P1,C3,P1,direct_coordinate,41,2.8562004687670175,12.108905641013616,-1.179485233085045,2.856200468767018,12.10890564101362
C3_paper_bootstrap_P1,C3,P1,same_native_s,43,2.7799407011914066,12.061470194143531,-1.1129587424008445,2.7799407011914066,12.061470194143538
C3_phenomenology_S0,C3,S0,direct_coordinate,89,7.342048970264373,15.86476818626295,0.885016627795989,7.342048970264373,15.86476818626295
