id,group,wave,kind,count,rms,max_abs,bias,modulo_180_rms,modulo_180_max_abs
E_paper_tip_S0,E_paper,S0,direct_coordinate,41,23.074885221299894,78.70919203786404,10.69241039176479,23.074885221299894,78.70919203786406
E_paper_tip_S0,E_paper,S0,same_native_s,43,22.754991742162385,78.93079112684201,10.50903574164204,22.754991742162385,78.930791126842
E_paper_tip_S2,E_paper,S2,direct_coordinate,41,1.2687011373567085,3.3743432312376456,-0.9014268778520235,1.26870113735671,3.3743432312376456
E_paper_tip_S2,E_paper,S2,same_native_s,43,1.2994873899147095,3.502331061063817,-0.9255349121857999,1.2994873899147097,3.5023310610638134
E_paper_tip_P1,E_paper,P1,direct_coordinate,41,6.834286289216996,27.59051385705797,2.6777152964737265,6.834286289216995,27.59051385705797
E_paper_tip_P1,E_paper,P1,same_native_s,43,7.119401814845262,29.364854856596907,2.726170406348773,7.119401814845262,29.364854856596907
E_paper_mid_S0,E_paper,S0,direct_coordinate,41,11.581974995679042,23.17355763864009,7.944145164085193,11.581974995679042,23.17355763864009
E_paper_mid_S0,E_paper,S0,same_native_s,43,11.523138703982157,23.6808472054056,7.838704718564378,11.523138703982157,23.6808472054056
E_paper_mid_S2,E_paper,S2,direct_coordinate,41,2.1635740617648005,8.782787237665339,0.9666526330800671,2.1635740617648,8.782787237665332
E_paper_mid_S2,E_paper,S2,same_native_s,43,2.097996890215562,8.745652535006158,0.8814269453366911,2.097996890215562,8.745652535006158
E_paper_mid_P1,E_paper,P1,direct_coordinate,41,25.144460899318762,107.68771137700955,8.470832073186408,20.87829030451757,85.32666353538741
E_paper_mid_P1,E_paper,P1,same_native_s,43,25.09283521368323,111.36523346742712,8.263975547431837,20.099275394905987,84.41026449683301
E_paper_ref_S0,E_paper,S0,direct_coordinate,41,9.283425940391645,21.345276124936916,6.251481657659571,9.283425940391645,21.345276124936916
E_paper_ref_S0,E_paper,S0,same_native_s,43,9.328346989843146,21.971075330531193,6.232088444314759,9.328346989843146,21.971075330531193
E_paper_ref_S2,E_paper,S2,direct_coordinate,41,1.5670551665894652,5.450247894477922,0.7668403192413825,1.5670551665894659,5.450247894477926
E_paper_ref_S2,E_paper,S2,same_native_s,43,1.5209190022395112,5.444965744964771,0.6968814703705606,1.520919002239512,5.444965744964776
E_paper_ref_P1,E_paper,P1,direct_coordinate,41,24.965399144337997,111.72051380410555,8.393133115211649,20.706132898617163,89.56602544950118
E_paper_ref_P1,E_paper,P1,same_native_s,43,24.931069103121356,115.3006788718621,8.19044241624228,19.989055957688347,88.7845080734296
