group,mode,epsilon,command,direction,target,lower,upper,gap,pointwise_tolerance_met,report,coefficients,source_snapshot,candidate_npz,input_coefficients,dual_input_candidate_npz
B3,chiral,0.0002,boundary,"[-61.86199180292034, -1127.2417923890137]","[0.048693517793851455, -0.003290346446485159]",0.6967380272981578,0.69722005245811,0.00048202515995221523,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_004_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_004_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_004_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_004_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_001_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[28.871470941470154, 635.9891174931747]","[-0.04507918274959971, 0.0030873239334491677]",0.6620021090296021,0.6624852827052604,0.00048317367565831054,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_005_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_005_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_005_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_005_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_002_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[330.84465086206967, 4928.100870164433]","[0.03655228961722924, -0.002282921860393421]",0.8426602898992402,0.843127426136297,0.0004671362370567423,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_006_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_006_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_006_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_006_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_002_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[87.80408728248187, 1117.659069391157]","[0.052892769961889276, -0.0034128845804202827]",0.8297599862539989,0.8302436374750919,0.00048365122109295117,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_007_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_007_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_007_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_007_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_004_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-147.86406069881846, -2031.0204336487104]","[-0.027819940093891715, 0.0017201356688169018]",0.6199386186655791,0.6204221070592665,0.00048348839368739244,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_008_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_008_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_008_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_008_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_005_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-298.5370428041737, -4561.807248991742]","[0.012739511304500304, -0.0010650457922512365]",1.0553175839839812,1.0558099374208305,0.00049235343684928,True,results/runs/stage_B3_pv_M50_eps0002_parallel_001_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_001_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_001_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_001_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_003_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[289.5377894494071, 4437.35012726269]","[-0.02796584808640364, 0.0020130197293774564]",0.8353035173201189,0.8357864721369408,0.00048295481682192337,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_009_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_009_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_009_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_009_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_006_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-246.8917659058768, -3559.7135951037194]","[-0.012773294200951362, 0.0006529701576622146]",0.8292344142809729,0.8297244464373038,0.0004900321563309219,True,results/runs/stage_B3_pv_M50_eps0002_parallel_002_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_002_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_002_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_002_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_008_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[-184.89391143327398, -2938.9166596737746]","[0.030234507980615565, -0.0021878615413374065]",0.8397662920994968,0.8402571095822039,0.0004908174827070734,True,results/runs/stage_B3_pv_M50_eps0002_adaptive_010_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_010_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_010_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_adaptive_010_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_001_20260907/center_first_coefficients.json,
B3,chiral,0.0002,boundary,"[304.0625215279509, 4469.208225573822]","[0.041405272178907486, -0.0026105471240882466]",0.9227127830464452,0.9231936997490112,0.00048091670256600333,True,results/runs/stage_B3_pv_M50_eps0002_parallel_003_20260907/report.json,results/runs/stage_B3_pv_M50_eps0002_parallel_003_20260907/coefficients.json,results/runs/stage_B3_pv_M50_eps0002_parallel_003_20260907/source.json,results/runs/stage_B3_pv_M50_eps0002_parallel_003_20260907/candidate.npz,results/runs/stage_B3_pv_M50_eps0002_adaptive_002_20260907/center_first_coefficients.json,
