id,group,wave,kind,count,rms,max_abs,bias,modulo_180_rms,modulo_180_max_abs
F_M50L8_S0,F_partial,S0,direct_coordinate,41,21.902958528796237,75.60744017477143,10.647742721766987,21.902958528796237,75.60744017477143
F_M50L8_S0,F_partial,S0,same_native_s,43,21.61920900465735,75.80727350545573,10.495570292469589,21.61920900465735,75.80727350545573
F_M50L8_S2,F_partial,S2,direct_coordinate,41,3.3132861431073652,8.292581531292846,-2.3921304102688685,3.313286143107366,8.292581531292853
F_M50L8_S2,F_partial,S2,same_native_s,43,3.298939944403525,8.483789217080531,-2.356701350352901,3.2989399444035237,8.483789217080528
F_M50L8_P1,F_partial,P1,direct_coordinate,41,3.5140142296487435,17.284833799185606,1.1952005881420618,3.514014229648744,17.284833799185606
F_M50L8_P1,F_partial,P1,same_native_s,43,3.5025834700442986,17.880362982051565,1.313068603959916,3.502583470044299,17.880362982051565
F_M50L10_S0,F_partial,S0,direct_coordinate,41,24.738562467140156,89.71981173139368,11.199588382606443,24.73856246714016,89.71981173139369
F_M50L10_S0,F_partial,S0,same_native_s,43,24.37253242325282,89.94152949809289,10.993173552846857,24.37253242325282,89.9415294980929
F_M50L10_S2,F_partial,S2,direct_coordinate,41,1.6153164228571117,4.473350868940102,-1.120567463886776,1.6153164228571109,4.473350868940102
F_M50L10_S2,F_partial,S2,same_native_s,43,1.6384626964115647,4.601316097773157,-1.134676261406094,1.6384626964115647,4.60131609777315
F_M50L10_P1,F_partial,P1,direct_coordinate,41,7.829845970532983,31.817530319489876,3.1061382976139456,7.829845970532982,31.817530319489876
F_M50L10_P1,F_partial,P1,same_native_s,43,8.089919993832032,33.590644543533344,3.134675438072023,8.089919993832032,33.590644543533344
F_M45L10_S0,F_partial,S0,direct_coordinate,36,23.316700222316893,94.19638584690694,10.911570283178031,22.398764492451882,85.80361415309306
F_M45L10_S0,F_partial,S0,same_native_s,38,22.981932367657983,95.10069457949015,10.66169116861242,21.9054067675351,84.89930542050985
F_M45L10_S2,F_partial,S2,direct_coordinate,36,0.9703469549148496,2.9136880723066056,-0.677945625087973,0.970346954914849,2.9136880723065985
F_M45L10_S2,F_partial,S2,same_native_s,38,1.00434367735708,3.0466381987519853,-0.7042565032627538,1.0043436773570806,3.0466381987519924
F_M45L10_P1,F_partial,P1,direct_coordinate,36,9.629940031745605,44.91863950258595,3.2286579419433306,9.629940031745607,44.91863950258596
F_M45L10_P1,F_partial,P1,same_native_s,38,9.890087687176853,47.72764213490588,3.2467981322738186,9.890087687176852,47.727642134905864
F_M60L10_S0,F_partial,S0,direct_coordinate,48,21.35496451823175,83.78148265240125,10.241409355409555,21.354964518231746,83.78148265240125
F_M60L10_S0,F_partial,S0,same_native_s,51,20.984417937393104,84.44711705701278,9.956834453248646,20.984417937393108,84.44711705701278
F_M60L10_S2,F_partial,S2,direct_coordinate,48,1.8333581895916782,4.385272510800288,-1.2917776834083803,1.8333581895916788,4.3852725108002915
F_M60L10_S2,F_partial,S2,same_native_s,51,1.839421957685554,4.545752869792551,-1.280560719059719,1.8394219576855533,4.545752869792551
F_M60L10_P1,F_partial,P1,direct_coordinate,48,3.995571046744696,24.349998401541214,1.1546362930669571,3.9955710467446965,24.349998401541214
F_M60L10_P1,F_partial,P1,same_native_s,51,4.285367146773822,26.734278501432996,1.268745278846259,4.285367146773822,26.734278501432996
