wave,energy_gev,phase_deg
S0,0.28003454716713333,0.20661462481499393
S2,0.28003454716713333,-0.04071028739024833
P1,0.28003454716713333,7.346947186799886e-06
S0,0.2803111804598683,0.5942113734048718
S2,0.2803111804598683,-0.1193375769474136
P1,0.2803111804598683,0.00019773983699085762
S0,0.2808658155751912,1.0456405462118041
S2,0.2808658155751912,-0.21061430738991652
P1,0.2808658155751912,0.0009227168942079846
S0,0.28170120613216176,1.3980096090637704
S2,0.28170120613216176,-0.27645601780452456
P1,0.28170120613216176,0.0025199135409998408
S0,0.28282152433185964,1.9393467740041732
S2,0.28282152433185964,-0.3943836108528619
P1,0.28282152433185964,0.00543295170703188
S0,0.28423241214550055,2.224498298631806
S2,0.28423241214550055,-0.4404943079911208
P1,0.28423241214550055,0.00984789271930161
S0,0.2859410513754389,2.915412688163145
S2,0.2859410513754389,-0.5937721320504805
P1,0.2859410513754389,0.016601951806567334
S0,0.2879562542262584,3.1090235233311185
S2,0.2879562542262584,-0.6235795350968758
P1,0.2879562542262584,0.025261473451063436
S0,0.29028857654496465,4.002743453948835
S2,0.29028857654496465,-0.8095564486222585
P1,0.29028857654496465,0.03780809281633231
S0,0.29295045649510143,4.094659046942573
S2,0.29295045649510143,-0.8389035565655084
P1,0.29295045649510143,0.052194476111104754
S0,0.29595638214610515,5.234414386067829
S2,0.29595638214610515,-1.0433277015151547
P1,0.29595638214610515,0.07290107463879648
S0,0.2993230923196993,5.237688841788246
S2,0.2993230923196993,-1.0991171869072183
P1,0.2993230923196993,0.09466162893108912
S0,0.30306981608187034,6.65105574140778
S2,0.30306981608187034,-1.2996100971018367
P1,0.30306981608187034,0.1263961325716558
S0,0.3072185575562705,6.613179528489799
S2,0.3072185575562705,-1.4146289473641935
P1,0.3072185575562705,0.15758826734717285
S0,0.31179443433331583,8.306743445273286
S2,0.31179443433331583,-1.5879780184237249
P1,0.31179443433331583,0.2037438345656118
S0,0.31682607975136984,8.321753232366131
S2,0.31682607975136984,-1.7922441919601142
P1,0.31682607975136984,0.24728839398133315
S0,0.32234612185478545,10.278919458526001
S2,0.32234612185478545,-1.9246556551042637
P1,0.32234612185478545,0.3117637492550767
S0,0.32839175505192253,10.498053525184043
S2,0.32839175505192253,-2.234721468421296
P1,0.32839175505192253,0.37214597359246526
S0,0.33500542462514576,12.683792717218589
S2,0.33500542462514576,-2.33290739741834
P1,0.33500542462514576,0.4594237748588295
S0,0.34223564958409913,13.32160977063396
S2,0.34223564958409913,-2.7419319477646598
P1,0.34223564958409913,0.5435900320574809
S0,0.3501380163147398,15.697704218188248
S2,0.3501380163147398,-2.8415013809669523
P1,0.3501380163147398,0.6593014654432774
S0,0.35877638462978967,17.030523965578194
S2,0.35877638462978967,-3.3142911313686234
P1,0.35877638462978967,0.7775938205225401
S0,0.36822435996941977,19.581314974584103
S2,0.36822435996941977,-3.48086181255114
P1,0.36822435996941977,0.9303017198610142
S0,0.3785671017632077,21.935129286688554
S2,0.3785671017632077,-3.958785856119935
P1,0.3785671017632077,1.0973816702447619
S0,0.38990355996172354,24.692633575598286
S2,0.38990355996172354,-4.277430845432221
P1,0.38990355996172354,1.3026010909347479
S0,0.4023492618199864,28.415298576051132
S2,0.4023492618199864,-4.696978491796874
P1,0.4023492618199864,1.5393197773382645
S0,0.416039812602881,31.44768410230841
S2,0.416039812602881,-5.2482797016301905
P1,0.416039812602881,1.8267233209191602
S0,0.4311353321022626,36.84977985545438
S2,0.4311353321022626,-5.572913777550062
P1,0.4311353321022626,2.1674746671702816
S0,0.4478261314430577,40.142389929937046
S2,0.4478261314430577,-6.399697082499199
P1,0.4478261314430577,2.5919525260361462
S0,0.46634005349840985,47.38612638630457
S2,0.46634005349840985,-6.658218908350037
P1,0.46634005349840985,3.1125216306681605
S0,0.48695207392457945,50.565401651421816
S2,0.48695207392457945,-7.733944066806541
P1,0.48695207392457945,3.7735237051069195
S0,0.5099970180127428,59.57036763507565
S2,0.5099970180127428,-8.055002283087614
P1,0.5099970180127428,4.688896631781827
S0,0.5358866395206641,61.64414246815097
S2,0.5358866395206641,-9.265310461019693
P1,0.5358866395206641,5.799243050814297
S0,0.5651329118650767,72.28117574931856
S2,0.5651329118650767,-9.905408290758118
P1,0.5651329118650767,7.8740006288864155
S0,0.5983803371077314,71.80466470873381
S2,0.5983803371077314,-11.042310477317024
P1,0.5983803371077314,10.238647110767545
S0,0.6364516260093482,84.40573238316833
S2,0.6364516260093482,-12.410008052506484
P1,0.6364516260093482,18.712976862069787
S0,0.6804136821594831,80.10517294866447
S2,0.6804136821594831,-13.1965858608309
P1,0.6804136821594831,33.42736970617289
S0,0.7316752603307709,95.59875420215054
S2,0.7316752603307709,-15.752322274651105
P1,0.7316752603307709,-1.9513050049146674
S0,0.7921355788896206,87.29299623359742
S2,0.7921355788896206,-16.143590759709532
P1,0.7921355788896206,-15.176237578256071
S0,0.8644178555063566,107.45488379300171
S2,0.8644178555063566,-19.505400963007897
P1,0.8644178555063566,-28.89134759275179
S0,0.9522503411013047,96.94732471390775
S2,0.9522503411013047,-20.791772696433757
P1,0.9522503411013047,-13.874078430375251
S0,1.0611163210367387,130.67949802071826
S2,1.0611163210367387,-21.25719952048629
P1,1.0611163210367387,-11.918340324126751
S0,1.199424119524732,199.78393107157757
S2,1.199424119524732,-25.45631340925408
P1,1.199424119524732,-4.561949682613061
