group,group_path_index,energy_gev,phase_deg,pdf_path_index,pdf_x_pt,pdf_y_pt,pdf_radius_x_pt,pdf_radius_y_pt
light_pink,0,0.2791759198065637,-0.0008254147637281445,184,43.07200050354004,520.1620178222656,3.967000961303711,3.967010498046875
light_pink,1,0.27945035260624396,-0.0008254147637281445,185,43.29899978637695,520.1620178222656,3.966999053955078,3.967010498046875
light_pink,2,0.2800028477017662,0.0007333083954428304,186,43.75600051879883,520.1579895019531,3.966999053955078,3.967010498046875
light_pink,3,0.28083823827226323,0.0020912869053266343,187,44.44700050354004,520.1544799804688,3.967000961303711,3.96649169921875
light_pink,4,0.2819528971274794,0.003626393046934413,188,45.36899948120117,520.1505126953125,3.966999053955078,3.96649169921875
light_pink,5,0.28336012703956015,0.008278945506884142,189,46.53300094604492,520.1384887695312,3.966999053955078,3.96649169921875
light_pink,6,0.2850653630291239,0.013498306388350588,190,47.94350051879883,520.125,3.9664993286132812,3.968994140625
light_pink,7,0.2870722345923323,0.02027639042898801,191,49.60350036621094,520.1074829101562,3.9664993286132812,3.96649169921875
light_pink,8,0.2893982689212599,0.03168340991201196,192,51.52749824523926,520.0780029296875,3.9685001373291016,3.968994140625
light_pink,9,0.2920501231667448,0.04368085483411583,193,53.72100067138672,520.0469970703125,3.966999053955078,3.968994140625
light_pink,10,0.2950483406460072,0.061098405286973315,194,56.20100021362305,520.0019836425781,3.966999053955078,3.967010498046875
light_pink,11,0.2984062241311928,0.08081861495224248,195,58.97850036621094,519.9510192871094,3.9664993286132812,3.967010498046875
light_pink,12,0.30213949067810725,0.10636041944683958,196,62.06650161743164,519.885009765625,3.9685020446777344,3.96697998046875
light_pink,13,0.3062741301541198,0.13441743631191713,197,65.48650169372559,519.8125,3.966501235961914,3.968505859375
light_pink,14,0.3108361324265994,0.1713662602895382,198,69.2599983215332,519.7170104980469,3.966999053955078,3.967010498046875
light_pink,15,0.31585331364052655,0.2121882751475235,199,73.40999984741211,519.6115112304688,3.9689979553222656,3.96649169921875
light_pink,16,0.32135770513718614,0.2621146502761211,200,77.9630012512207,519.4824829101562,3.966999053955078,3.96649169921875
light_pink,17,0.32738315761775627,0.32112176865776776,201,82.94700241088867,519.3299865722656,3.966999053955078,3.967010498046875
light_pink,18,0.33397620887863866,0.3876745241508558,202,88.40049743652344,519.1579895019531,3.9664993286132812,3.967010498046875
light_pink,19,0.3411852322174703,0.4706765323767102,203,94.36349868774414,518.9434814453125,3.9685020446777344,3.96649169921875
light_pink,20,0.349064623958556,0.5567605613945618,204,100.88100051879883,518.7210083007812,3.966999053955078,3.96697998046875
light_pink,21,0.35767362282895715,0.6747866066666367,205,108.00200271606445,518.4159851074219,3.966999053955078,3.967010498046875
light_pink,22,0.36709503852763214,0.7866131848283726,206,115.79500198364258,518.1269836425781,3.966999053955078,3.967010498046875
light_pink,23,0.3774038314492605,0.9529950735610926,207,124.32200241088867,517.6969909667969,3.966999053955078,3.967010498046875
light_pink,24,0.38870517396991394,1.1048643050012283,208,133.6699981689453,517.3045043945312,3.9669952392578125,3.968505859375
light_pink,25,0.40111573571335307,1.3360630984361412,209,143.93549346923828,516.7070007324219,3.9664993286132812,3.969024658203125
light_pink,26,0.4147636743274032,1.554485085369365,210,155.22449493408203,516.1425170898438,3.9664993286132812,3.96649169921875
light_pink,27,0.4298122018440386,1.873338439490082,211,167.67200469970703,515.3184814453125,3.9690017700195312,3.96649169921875
light_pink,28,0.44645169386879496,2.210548120511794,212,181.43549346923828,514.4470062255859,3.9664993286132812,3.9669952392578125
light_pink,29,0.464907059256584,2.6578544331587373,213,196.70099639892578,513.2910003662109,3.9670028686523438,3.9669952392578125
light_pink,30,0.4854569436974846,3.2185283343634152,214,213.6989974975586,511.8420104980469,3.9690017700195312,3.967010498046875
light_pink,31,0.5084295790858082,3.894134451539389,215,232.70099639892578,510.0959930419922,3.9670028686523438,3.9669952392578125
light_pink,32,0.534243266007148,4.88586025305314,216,254.05299377441406,507.5330047607422,3.9669952392578125,3.9669952392578125
light_pink,33,0.563397316139317,6.1085959118613,217,278.1679992675781,504.3730010986328,3.968994140625,3.9669952392578125
light_pink,34,0.5965421333497735,8.045622362613948,218,305.58399963378906,499.36700439453125,3.9669952392578125,3.968994140625
light_pink,35,0.6344967939235353,11.119099698507616,219,336.97850036621094,491.4239959716797,3.9665069580078125,3.9669952392578125
light_pink,36,0.6783239700633622,16.224207353257707,220,373.2304992675781,478.2304992675781,3.968505859375,3.968505859375
light_pink,37,0.7294284750917686,31.120670702515913,221,415.5019989013672,439.7324981689453,3.9669952392578125,3.9665069580078125
light_pink,38,0.7897017238547974,74.61982801190372,222,465.3574981689453,327.3144989013672,3.9665069580078125,3.9665069580078125
light_pink,39,0.8617623032909927,123.16585931498516,223,524.9629821777344,201.85350036621094,3.967010498046875,3.9665069580078125
light_pink,40,0.9493266329974862,153.45755233135512,224,597.3925170898438,123.56850051879883,3.96649169921875,3.966503143310547
