model_M,model_L,energy_gev,phase_deg
50,8,0.279171855033,-0.000206446481708
50,8,0.279452066717,-0.000206446481708
50,8,0.280001319625,-0.000206446481708
50,8,0.280836369447,0.0018981830212
50,8,0.281954030715,0.00374575853902
50,8,0.283356694052,0.00795501754484
50,8,0.285059528507,0.0163735355565
50,8,0.287074511567,0.024534999583
50,8,0.289394453085,0.0369057226154
50,8,0.292051293027,0.0511240211656
50,8,0.295045025302,0.072708522976
50,8,0.298399598794,0.0921883952834
50,8,0.302135776917,0.127452988863
50,8,0.306271119343,0.156146639948
50,8,0.310836762058,0.205372478093
50,8,0.315851062623,0.24643685221
50,8,0.321354740842,0.314347301896
50,8,0.327383716993,0.376200917058
50,8,0.333976314164,0.462538924299
50,8,0.341185226599,0.552829136562
50,8,0.349063130268,0.663908589868
50,8,0.357675500885,0.795520230233
50,8,0.367094179009,0.937655018113
50,8,0.377403795805,1.12875859015
50,8,0.388704934149,1.31406238165
50,8,0.401110163537,1.58939933143
50,8,0.414762379383,1.84630872365
50,8,0.429812474272,2.23323923471
50,8,0.446452831072,2.6238648968
50,8,0.464907796981,3.1624251273
50,8,0.485459167281,3.81863575361
50,8,0.508428680486,4.59593487277
50,8,0.534237854003,5.77623037705
50,8,0.563395205709,7.07812848215
50,8,0.596538609127,9.38133218854
50,8,0.634495945251,12.4147138055
50,8,0.678324168703,18.0450636361
50,8,0.729429186154,31.5847396656
50,8,0.789702995958,70.7555256023
50,8,0.861764139334,116.3526451
50,8,0.949324815067,151.873571709
50,8,1.05785438297,167.800684822
50,8,1.19574011729,172.448155605
50,10,0.279171855033,-0.000206446481708
50,10,0.279452066717,-0.000206446481708
50,10,0.280001319625,-0.000206446481708
50,10,0.280836369447,0.0018981830212
50,10,0.281954030715,0.00374575853902
50,10,0.283356694052,0.00795501754484
50,10,0.285059528507,0.0163735355565
50,10,0.287074511567,0.024534999583
50,10,0.289394453085,0.0369057226154
50,10,0.292051293027,0.0511240211656
50,10,0.295045025302,0.0716562082245
50,10,0.298399598794,0.0921883952834
50,10,0.302135776917,0.127452988863
50,10,0.306271119343,0.155094325197
50,10,0.310836762058,0.205372478093
50,10,0.315851062623,0.244589276693
50,10,0.321354740842,0.316451931399
50,10,0.327383716993,0.370144082534
50,10,0.333976314164,0.468595758823
50,10,0.341185226599,0.54492472652
50,10,0.349063130268,0.674431737382
50,10,0.357675500885,0.784458875937
50,10,0.367094179009,0.953977946166
50,10,0.377403795805,1.1166449211
50,10,0.388704934149,1.33459456871
50,10,0.401110163537,1.57728566238
50,10,0.414762379383,1.87105016972
50,10,0.429812474272,2.2290299757
50,10,0.446452831072,2.64860634286
50,10,0.464907796981,3.17505290432
50,10,0.485459167281,3.83521573565
50,10,0.508428680486,4.63278998788
50,10,0.534237854003,5.78254426556
50,10,0.563395205709,7.12129748577
50,10,0.596538609127,9.36080000148
50,10,0.634495945251,12.3199572802
