group,group_path_index,energy_gev,phase_deg,pdf_path_index,pdf_x_pt,pdf_y_pt,pdf_radius_x_pt,pdf_radius_y_pt
light_pink,0,0.2791759198065637,0.16248336440406702,184,43.07200050354004,519.8299865722656,3.967000961303711,3.967010498046875
light_pink,1,0.27945035260624396,0.4866511409099163,185,43.29899978637695,519.1700134277344,3.966999053955078,3.967010498046875
light_pink,2,0.2800028477017662,0.8263033025600615,186,43.75600051879883,518.478515625,3.966999053955078,3.96649169921875
light_pink,3,0.28083823827226323,1.1458242645501975,187,44.44700050354004,517.8280029296875,3.967000961303711,3.968994140625
light_pink,4,0.2819528971274794,1.5208371856924956,188,45.36899948120117,517.0645141601562,3.966999053955078,3.96649169921875
light_pink,5,0.28336012703956015,1.8334778642545273,189,46.53300094604492,516.4280090332031,3.966999053955078,3.967010498046875
light_pink,6,0.2850653630291239,2.2711178532892435,190,47.94350051879883,515.5370178222656,3.9664993286132812,3.967010498046875
light_pink,7,0.2870722345923323,2.5741800980592084,191,49.60350036621094,514.9200134277344,3.9664993286132812,3.967010498046875
light_pink,8,0.2893982689212599,3.101720958248731,192,51.52749824523926,513.8459930419922,3.9685001373291016,3.9669952392578125
light_pink,9,0.2920501231667448,3.3954371099524145,193,53.72100067138672,513.2480163574219,3.966999053955078,3.967010498046875
light_pink,10,0.2950483406460072,4.043802642412602,194,56.20100021362305,511.9280090332031,3.966999053955078,3.967010498046875
light_pink,11,0.2984062241311928,4.334588303026537,195,58.97850036621094,511.33599853515625,3.9664993286132812,3.968994140625
light_pink,12,0.30213949067810725,5.134717298597492,196,62.06650161743164,509.70701599121094,3.9685020446777344,3.9690093994140625
light_pink,13,0.3062741301541198,5.438768865167576,197,65.48650169372559,509.08799743652344,3.966501235961914,3.9669952392578125
light_pink,14,0.3108361324265994,6.427026394865816,198,69.2599983215332,507.0760040283203,3.966999053955078,3.9669952392578125
light_pink,15,0.31585331364052655,6.770366028680043,199,73.40999984741211,506.3769989013672,3.9689979553222656,3.9669952392578125
light_pink,16,0.32135770513718614,7.990709458851791,200,77.9630012512207,503.8925018310547,3.966999053955078,3.9665069580078125
light_pink,17,0.32738315761775627,8.420494832382527,201,82.94700241088867,503.0175018310547,3.966999053955078,3.9665069580078125
light_pink,18,0.33397620887863866,9.9267072936161,202,88.40049743652344,499.9510040283203,3.9664993286132812,3.9669952392578125
light_pink,19,0.3411852322174703,10.513674915571897,203,94.36349868774414,498.75599670410156,3.9685020446777344,3.9669952392578125
light_pink,20,0.349064623958556,12.376732752163754,204,100.88100051879883,494.96299743652344,3.966999053955078,3.9669952392578125
light_pink,21,0.35767362282895715,13.236303499225228,205,108.00200271606445,493.21299743652344,3.966999053955078,3.9669952392578125
light_pink,22,0.36709503852763214,15.557882010724022,206,115.79500198364258,488.4864959716797,3.966999053955078,3.9665069580078125
light_pink,23,0.3774038314492605,16.861725699798285,207,124.32200241088867,485.8320007324219,3.966999053955078,3.968994140625
light_pink,24,0.38870517396991394,19.798265143278986,208,133.6699981689453,479.85350036621094,3.9669952392578125,3.9665069580078125
light_pink,25,0.40111573571335307,21.797624542423684,209,143.93549346923828,475.7830047607422,3.9664993286132812,3.9669952392578125
light_pink,26,0.4147636743274032,25.585138126111787,210,155.22449493408203,468.07200622558594,3.9664993286132812,3.9669952392578125
light_pink,27,0.4298122018440386,28.62802216824322,211,167.67200469970703,461.8769989013672,3.9690017700195312,3.9669952392578125
light_pink,28,0.44645169386879496,33.602234746036885,212,181.43549346923828,451.75,3.9664993286132812,3.968994140625
light_pink,29,0.464907059256584,38.0909151658355,213,196.70099639892578,442.6114959716797,3.9670028686523438,3.9665069580078125
light_pink,30,0.4854569436974846,44.576249339552724,214,213.6989974975586,429.4080047607422,3.9690017700195312,3.9669952392578125
light_pink,31,0.5084295790858082,50.7197278621559,215,232.70099639892578,416.90049743652344,3.9670028686523438,3.9665069580078125
light_pink,32,0.534243266007148,58.63809466334634,216,254.05299377441406,400.7794952392578,3.9669952392578125,3.9665069580078125
light_pink,33,0.563397316139317,65.89949932522252,217,278.1679992675781,385.9960021972656,3.968994140625,3.968994140625
light_pink,34,0.5965421333497735,74.22162184379357,218,305.58399963378906,369.05299377441406,3.9669952392578125,3.9669952392578125
