group,group_path_index,f00_s3,f11_s3,pdf_path_index,pdf_x_pt,pdf_y_pt,pdf_radius_x_pt,pdf_radius_y_pt
chiral_only_green,0,0.0014492124895136202,0.0005819928219153653,0,80.29100036621094,60.61099815368652,3.9629974365234375,3.9629993438720703
chiral_only_green,1,0.002897130663377799,0.0004879939600416544,1,94.84199905395508,68.12100219726562,3.963001251220703,3.96099853515625
chiral_only_green,2,0.004346143566062731,0.0003949965116011607,2,109.40399932861328,75.55099868774414,3.9629974365234375,3.9610023498535156
chiral_only_green,3,0.0057950570169615885,0.0003009789091847393,3,123.96500015258789,83.0625,3.9610023498535156,3.9605026245117188
chiral_only_green,4,0.007243123988917909,0.00020698632598966897,4,138.51749420166016,90.57200241088867,3.9625015258789062,3.963001251220703
chiral_only_green,5,0.008692187376669817,0.0001129875357358665,5,153.0800018310547,98.08200073242188,3.9629974365234375,3.96099853515625
chiral_only_green,6,0.010141100447981706,1.8988745482064034e-05,6,167.64099884033203,105.59199905395508,3.9610061645507812,3.963001251220703
chiral_only_green,7,0.011589118453218928,-7.601138658504718e-05,7,182.19300079345703,113.18199920654297,3.9630050659179688,3.9629974365234375
chiral_only_green,8,0.013038031524530815,-0.00017100526384682062,8,196.75399780273438,120.77149963378906,3.96099853515625,3.9625015258789062
chiral_only_green,9,0.014487044047628777,-0.0002659991888551997,9,211.3159942626953,128.36100387573242,3.96099853515625,3.963001251220703
chiral_only_green,10,0.015935162263826012,-0.00036099932092231095,10,225.86900329589844,135.9510040283203,3.9629974365234375,3.9629974365234375
chiral_only_green,11,0.017384075335137902,-0.00045700074705612524,11,240.43000030517578,143.62100219726562,3.9610061645507812,3.96099853515625
chiral_only_green,12,0.01883214344585513,-0.0005520008313766308,12,254.98250579833984,151.21099853515625,3.9625015258789062,3.96099853515625
chiral_only_green,13,0.02028100641168701,-0.0006480022575104452,13,269.5429992675781,158.88099670410156,3.96099853515625,3.9629974365234375
chiral_only_green,14,0.02173006904026498,-0.0007440036836442595,14,284.1054992675781,166.55099487304688,3.96051025390625,3.96099853515625
chiral_only_green,15,0.02317813715098221,-0.0008410064515913826,15,298.6580047607422,174.30099487304688,3.9629974365234375,3.96099853515625
chiral_only_green,16,0.02462704946312016,-0.0009370079732184082,16,313.218994140625,181.97100067138672,3.96099853515625,3.9630050659179688
chiral_only_green,17,0.026076063504566,-0.0010340107411655312,17,327.781005859375,189.72100067138672,3.96099853515625,3.9630050659179688
chiral_only_green,18,0.02752398129884321,-0.0011300121672993455,18,342.3320007324219,197.39099884033203,3.96099853515625,3.9610061645507812
chiral_only_green,19,0.02897304392742118,-0.0012270149352464686,19,356.8945007324219,205.14099884033203,3.96051025390625,3.9610061645507812
chiral_only_green,20,0.030422106555999147,-0.0013240177031935917,20,371.4570007324219,212.89099884033203,3.96099853515625,3.9610061645507812
chiral_only_green,21,0.03187002435027635,-0.0014210204711407148,21,386.00799560546875,220.64099884033203,3.96099853515625,3.9610061645507812
chiral_only_green,22,0.0333190383917222,-0.001518023239087838,22,400.57000732421875,228.39099884033203,3.96099853515625,3.9610061645507812
chiral_only_green,23,0.0347681496074323,-0.0016160022341337075,23,415.13299560546875,236.218994140625,3.96099853515625,3.96099853515625
chiral_only_green,24,0.036216067401709504,-0.0017130050020808304,24,429.6839904785156,243.968994140625,3.96099853515625,3.96099853515625
chiral_only_green,25,0.03766508144315534,-0.0018110091118412623,25,444.2460021972656,251.7989959716797,3.96099853515625,3.9629974365234375
chiral_only_green,26,0.03911399375529329,-0.0019090132216016942,26,458.80699157714844,259.6289978027344,3.9629974365234375,3.96099853515625
chiral_only_green,27,0.040562013278878394,-0.002007017331362126,27,473.3590087890625,267.45899963378906,3.96099853515625,3.9629974365234375
chiral_only_green,28,0.042010925591016345,-0.0021049964219012067,28,487.9199981689453,275.28700256347656,3.9629974365234375,3.9629974365234375
chiral_only_green,29,0.04345998821959431,-0.0022040018734749475,29,502.4824981689453,283.19700622558594,3.9625091552734375,3.9629974365234375
chiral_only_green,30,0.04490805329361578,-0.002303013436614209,30,517.0349731445312,291.1074981689453,3.96099853515625,3.9625091552734375
chiral_only_green,31,0.046356970160797366,-0.002401999980532119,31,531.5960083007812,299.0159912109375,3.9630126953125,3.96099853515625
chiral_only_green,32,0.047805981165547455,-0.00250100543210586,32,546.1579895019531,306.9259948730469,3.962982177734375,3.96099853515625
chiral_only_green,33,0.04925389895982466,-0.002601012225492909,33,560.708984375,314.91600036621094,3.9630126953125,3.9629974365234375
chiral_only_green,34,0.050702964625098386,-0.0027009939996586073,34,575.2715148925781,322.9040069580078,3.962493896484375,3.9629974365234375
chiral_only_green,35,0.0521520242169806,-0.0028020143579900072,35,589.833984375,330.97499084472656,3.9630126953125,3.9629974365234375
chiral_only_green,36,0.05359994504795357,-0.0029029974739690143,36,604.385009765625,339.0429992675781,3.9630126953125,3.96099853515625
chiral_only_green,37,0.05504895605270365,-0.003005006950982681,37,618.9469909667969,347.19300842285156,3.962982177734375,3.9629974365234375
chiral_only_green,38,0.056496873846980857,-0.003108004973719347,38,633.4979858398438,355.4219970703125,3.9630126953125,3.96099853515625
chiral_only_green,39,0.05794593951225459,-0.0032109968848904927,39,648.0605163574219,363.65049743652344,3.962493896484375,3.9625091552734375
chiral_only_green,40,0.05939499910413679,-0.003314013815282989,40,662.6229858398438,371.88099670410156,3.9630126953125,3.9629974365234375
chiral_only_green,41,0.06084291993510976,-0.0034190084100807518,41,677.1740112304688,380.2695007324219,3.9630126953125,3.96051025390625
chiral_only_green,42,0.062291930939859845,-0.0035250043466918237,42,691.7359924316406,388.7380065917969,3.962982177734375,3.96099853515625
chiral_only_green,43,0.06374084477034568,-0.003631006394868416,43,706.2969970703125,397.2070007324219,3.96099853515625,3.96099853515625
chiral_only_green,44,0.0651889629865429,-0.0037390111266716263,44,720.8500061035156,405.83599853515625,3.962982177734375,3.96099853515625
chiral_only_green,45,0.066637973991293,-0.003847015858474836,45,735.4119873046875,414.4649963378906,3.9630126953125,3.96099853515625
chiral_only_green,46,0.06808689085847458,-0.003955996912870004,46,749.9730224609375,423.1719970703125,3.96099853515625,3.96099853515625
chiral_only_green,47,0.06953495441414817,-0.004080010317595845,47,764.5254821777344,433.0800018310547,3.962493896484375,3.9629974365234375
chiral_only_green,48,0.07098381965750188,-0.004180999545140372,48,779.0859985351562,441.14849853515625,3.96099853515625,3.96051025390625
chiral_only_green,49,0.07243288228607984,-0.004295994761980913,49,793.6484985351562,450.33599853515625,3.96051025390625,3.96099853515625
