model_M,model_L,energy_gev,phase_deg
50,8,0.279176003454,0.185326624151
50,8,0.279450725298,0.554119233198
50,8,0.280002452694,0.932676295392
50,8,0.280834626489,1.30425063818
50,8,0.281951820648,1.71025603234
50,8,0.283360905948,2.09021815392
50,8,0.285061880206,2.54039066754
50,8,0.287071912716,2.93755412228
50,8,0.289396730218,3.44888220074
50,8,0.292051213933,3.87743950776
50,8,0.295046804236,4.46248353047
50,8,0.298401821011,4.9484637698
50,8,0.302138009705,5.62141625587
50,8,0.306273692385,6.19577331169
50,8,0.31083747654,6.97404848207
50,8,0.315853976443,7.68069400851
50,8,0.321355814632,8.58617672766
50,8,0.327383626272,9.48002158114
50,8,0.33397690686,10.5501233294
50,8,0.341183727804,11.7011508217
50,8,0.34906246122,12.9916907768
50,8,0.357674933168,14.4859288624
50,8,0.36709324858,16.0836587974
50,8,0.377404402344,18.0310853069
50,8,0.388705694416,20.0601542826
50,8,0.401113873394,22.5979895871
50,8,0.414760582195,25.2213915893
50,8,0.429810667024,28.5075132712
50,8,0.446450675869,31.9010581304
50,8,0.464906132592,36.0749715564
50,8,0.485456898472,40.3321382996
50,8,0.508430919301,45.4096681285
50,8,0.534239708007,50.3737216709
50,8,0.563396666729,56.1134957303
50,8,0.596542770892,61.2054451587
50,8,0.634496452741,67.2075182599
50,8,0.678324584066,71.4949079725
50,8,0.729427082583,77.824849554
50,8,0.789701199222,80.3010609405
50,8,0.861761959319,88.5349573454
50,8,0.949326664031,88.8109734571
50,8,1.05785701854,104.294231216
50,8,1.19574009318,102.888348659
50,10,0.279176003454,0.180671477883
50,10,0.279450725298,0.541331773481
50,10,0.280002452694,0.907569729088
50,10,0.280834626489,1.27705777157
50,10,0.281951820648,1.6595745466
50,10,0.283360905948,2.04930112133
50,10,0.285061880206,2.46062871015
50,10,0.287071912716,2.88129497654
50,10,0.289396730218,3.3361084439
50,10,0.292051213933,3.79930969006
50,10,0.295046804236,4.31553418761
50,10,0.298401821011,4.83966391831
50,10,0.302138009705,5.43633161417
50,10,0.306273692385,6.04137289631
50,10,0.31083747654,6.74407290243
50,10,0.315853976443,7.4600287214
50,10,0.321355814632,8.30109159632
50,10,0.327383626272,9.16936153037
50,10,0.33397690686,10.1906410129
50,10,0.341183727804,11.2639928481
50,10,0.34906246122,12.5210526506
50,10,0.357674933168,13.8799579703
50,10,0.36709324858,15.4458256998
50,10,0.377404402344,17.1925841817
50,10,0.388705694416,19.1672390391
