group,f00_s3,f11_s3,duplicate_path_count,all_pdf_path_indices,pdf_path_index,pdf_x_pt,pdf_y_pt,pdf_radius_x_pt,pdf_radius_y_pt
chiral_reference_black,0.07131303695471222,-0.0047542109147989285,2,225|226,225,782.3945007324219,486.94500732421875,5.546478271484375,5.5469970703125
light_pink,0.07098396845559402,-0.004420014278272275,2,227|228,227,779.0874938964844,460.24449157714844,5.185516357421875,5.1855010986328125
pink,0.07532981108510713,-0.004759010785569876,2,229|230,229,822.761474609375,487.3284912109375,5.1875,5.1875
red,0.08112496838894613,-0.005252986472196145,2,231|232,231,881.00048828125,526.7944946289062,5.1875,5.18548583984375
