drawing_index,epsilon,color,role,x,y,pdf_x,pdf_y,pdf_marker_radius
0,,blue,boundary_sample,2.1575013525396964,-0.2703706155704827,882.0719909667969,277.7209930419922,2.256011962890625
1,,blue,boundary_sample,2.175169843860251,-0.24029023830784882,885.0530090332031,259.14649963378906,2.256011962890625
2,,blue,boundary_sample,2.1906688885591277,-0.2098308965963292,887.6679992675781,240.33799743652344,2.258026123046875
3,,blue,boundary_sample,2.2031601186947327,-0.17909868614936217,889.7755126953125,221.36100006103516,2.2554931640625
4,,blue,boundary_sample,2.213719032817383,-0.1481397543396847,891.5570068359375,202.24400329589844,2.2559814453125
5,,blue,boundary_sample,2.221726305828476,-0.1170609752701549,892.9079895019531,183.0530014038086,2.256011962890625
6,,blue,boundary_sample,2.2278162756721707,-0.08588665198820875,893.9354858398438,163.8030014038086,2.2554931640625
7,,blue,boundary_sample,2.231333984351376,-0.05474958019991774,894.5289916992188,144.5760040283203,2.2559814453125
8,,blue,boundary_sample,2.232886819039312,-0.02366755784113934,894.7909851074219,125.38299942016602,2.256011962890625
9,,blue,boundary_sample,2.23204230125737,0.007237936917109083,894.6484985351562,106.29899978637695,2.25750732421875
10,,blue,boundary_sample,2.204155669320522,0.0344591909982318,889.9434814453125,89.4900016784668,2.2554931640625
11,,blue,boundary_sample,2.049683436819924,0.041840620798702315,863.8810119628906,84.93200302124023,2.256011962890625
12,,blue,boundary_sample,1.8944699676797032,0.045238222660885216,837.6934814453125,82.83399963378906,2.2554931640625
13,,blue,boundary_sample,1.7556478127218291,0.047647961861806615,814.271484375,81.34599685668945,2.2554931640625
14,,blue,boundary_sample,1.632917619423467,0.049647971698684255,793.5645141601562,80.11100006103516,2.2554931640625
15,,blue,boundary_sample,1.5240444634509958,0.05138725814613873,775.1954956054688,79.0369987487793,2.25750732421875
16,,blue,boundary_sample,1.4266993640889978,0.05289253355219073,758.771484375,78.10749816894531,2.2554931640625
17,,blue,boundary_sample,1.3391131569714037,0.0542018525106903,743.9939880371094,77.29899978637695,2.256011962890625
18,,blue,boundary_sample,1.2600025151196574,0.055372710817897526,730.646484375,76.57600021362305,2.2554931640625
19,,blue,boundary_sample,1.188137651341764,0.05640996414114459,718.521484375,75.93550109863281,2.2554931640625
20,,blue,boundary_sample,1.1225704049581475,0.05735248252986402,707.4590148925781,75.35350036621094,2.256011962890625
21,,blue,boundary_sample,1.0624439585061694,0.05818730518244909,697.3145141601562,74.8380012512207,2.2554931640625
22,,blue,boundary_sample,1.007177513828233,0.058959782549135704,687.989990234375,74.36100006103516,2.2559814453125
23,,blue,boundary_sample,0.9560571468109686,0.059630229124908826,679.364990234375,73.94700241088867,2.2559814453125
24,,blue,boundary_sample,0.9078765843578306,0.05997193590244564,671.2359924316406,73.73600006103516,2.256011962890625
25,,blue,boundary_sample,0.8649295360410627,0.06087559041942635,663.989990234375,73.17799758911133,2.2559814453125
26,,blue,boundary_sample,0.8224240100857686,0.060856964672598775,656.8184814453125,73.18949890136719,2.2554931640625
27,,blue,boundary_sample,0.785750884190171,0.06190717261975875,650.6310119628906,72.54100036621094,2.256011962890625
28,,blue,boundary_sample,0.7499103381511336,0.06235575967784742,644.5840148925781,72.26399993896484,2.256011962890625
29,,blue,boundary_sample,0.7162924167650209,0.06279301066780058,638.9120178222656,71.99399948120117,2.256011962890625
30,,blue,boundary_sample,0.684642082535037,0.06318167409596305,633.5719909667969,71.75400161743164,2.256011962890625
31,,blue,boundary_sample,0.6548708862867616,0.0635768241026227,628.5490112304688,71.5099983215332,2.2559814453125
32,,blue,boundary_sample,0.6258700479809346,0.06356467257890468,623.656005859375,71.51750183105469,2.25799560546875
33,,blue,boundary_sample,0.6000342069225745,0.06426022530230874,619.2969970703125,71.0880012512207,2.25799560546875
34,,blue,boundary_sample,0.5747377430382883,0.06456387748599551,615.0289916992188,70.90049743652344,2.2559814453125
35,,blue,boundary_sample,0.5507305750952494,0.0648545688680756,610.978515625,70.72099685668945,2.2554931640625
36,,blue,boundary_sample,0.5271616737158528,0.06477278237976705,607.0019836425781,70.77149963378906,2.256011962890625
37,,blue,boundary_sample,0.5054216263294347,0.06503270266899534,603.3340148925781,70.61100006103516,2.256011962890625
38,,blue,boundary_sample,0.48421480627674224,0.06502622226819199,599.7560119628906,70.6150016784668,2.256011962890625
39,,blue,boundary_sample,0.4644897359926662,0.06530720231560773,596.4280090332031,70.44149780273438,2.256011962890625
